cellid,x,y,z,nonzero_voxels,vth,order_used,n_coeffs,delta_final,t_read,t_moments,t_transform
4960,-3512500.0,0.0,-1662500.0,188011,238910.46455250538,4,20,0.01590622110527993,0.0578941669955384,0.006114000003435649,0.05978712500655092
160,-3512500.0,0.0,-1862500.0,188480,240203.75279674088,4,20,0.0002743499266633751,0.05441562499618158,0.009300124991568737,0.05589324999891687
54304,87500.0,0.0,387500.0,218112,272693.9739701392,11,286,0.046468817224099,0.07262770899978932,0.006164874997921288,0.8200856250041397
2560,-3512500.0,0.0,-1762500.0,188364,238949.58152246944,4,20,0.01580208836693217,0.05670366699632723,0.007739041990134865,0.05896108300657943
3616,-7112500.0,0.0,-1712500.0,183760,238135.77326901644,4,20,0.013835885721704326,0.054351582992239855,0.012785250000888482,0.059272499987855554
6016,-7112500.0,0.0,-1612500.0,182571,238080.5414838424,4,20,0.013887150116729273,0.05784216600295622,0.006629666007938795,0.059239499998511747
1216,-7112500.0,0.0,-1812500.0,184437,238152.90621541903,4,20,0.013939416030819711,0.05365095799788833,0.008671375006088056,0.054062292008893564
51712,-4712500.0,0.0,287500.0,214912,255811.5628595598,12,364,0.047278322858086565,0.06573637499241158,0.010386459005530924,1.0882310419983696
10912,-4712500.0,0.0,-1412500.0,185327,238396.04181333387,4,20,0.015264783400440246,0.05908429200644605,0.006116208009188995,0.062106916986522265
8512,-4712500.0,0.0,-1512500.0,186067,238435.7706196847,4,20,0.015477765608388485,0.06145045800076332,0.00983216700842604,0.060215499994228594
49280,-5512500.0,0.0,187500.0,238059,253786.77498779923,16,816,0.04498601290822928,0.07655491700279526,0.0063807499973336235,2.4344649159902474
46880,-5512500.0,0.0,87500.0,267968,244571.7593547971,17,969,0.04999019503759669,0.0832697079895297,0.006753666995791718,2.8244919999997364
49312,-4712500.0,0.0,187500.0,240000,255641.05585208017,16,816,0.047801708250268936,0.08508212499145884,0.0068290409981273115,2.400564875002601
48608,-7312500.0,0.0,162500.0,239680,250867.91261597592,15,680,0.048342047938214804,0.06857483301428147,0.010523457996896468,2.019332374999067
45792,-2712500.0,0.0,37500.0,294080,246533.11053122804,15,680,0.047433529511619325,0.10454454200225882,0.007563624996691942,2.020527583998046
13056,3887500.0,0.0,-1337500.0,187303,238653.39617539212,4,20,0.015146628775012048,0.058284041995648295,0.008085167006356642,0.05873591599811334
7648,3687500.0,0.0,-1562500.0,187554,238783.24678271628,4,20,0.015941500430312075,0.05759029199543875,0.010060208005597815,0.06612741699791513
48192,-2712500.0,0.0,137500.0,281152,252648.55021268287,16,816,0.04835779604544918,0.09258395800134167,0.007764791007502936,2.419699499994749
12448,3687500.0,0.0,-1362500.0,187716,238742.7006410492,4,20,0.015350606605805782,0.05760104198998306,0.010936582999420352,0.05422791599994525
10048,3687500.0,0.0,-1462500.0,187615,238768.9227098457,4,20,0.01584161028713781,0.060581249999813735,0.006777209011488594,0.06281804200261831
46208,-7312500.0,0.0,62500.0,274688,242898.42424264806,17,969,0.04768093539453279,0.08776420800131746,0.006380207996699028,2.8478322079899954
10656,3887500.0,0.0,-1437500.0,187495,238681.5859018476,4,20,0.015731965835187663,0.05471008400490973,0.00642162500298582,0.05963216700183693
8256,3887500.0,0.0,-1537500.0,187506,238703.79595587958,4,20,0.01589589778235362,0.0625262920075329,0.007303207996301353,0.059646458001225255
48800,-2512500.0,0.0,162500.0,277952,256208.04109538536,17,969,0.04557703764208321,0.09018216600816231,0.006626707996474579,2.849970499999472
8992,7287500.0,0.0,-1512500.0,183019,238013.30640218704,4,20,0.013864731421237926,0.06160745800298173,0.00888541700260248,0.05972316600673366
